index,Name,Hall of Fame Class,Year Drafted,GP,MIN,PTS,FGM,FGA,FG%,3P Made,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,EFF
132,Rickey Williams,,1982.0,44.0,7.9,3.3,1.3,3.1,41.5,0.0,0.1,0,0.8,1.2,66.0,0.3,0.5,0.9,0.8,0.5,0.1,0.9,2.5
133,Ricky Pierce,,1982.0,39.0,6.8,2.2,0.8,2.3,37.5,0.0,0.2,14.3,0.5,0.8,56.3,0.4,0.5,0.9,0.4,0.2,0.1,0.5,1.5
134,Rob Williams,,1982.0,74.0,19.5,7.0,2.6,6.3,40.8,0.0,0.2,13.3,1.8,2.4,75.3,0.5,1.3,1.8,4.9,1.2,0.2,2.5,8.2
135,Rod Higgins,,1982.0,82.0,26.8,10.3,3.8,8.5,44.8,0.2,0.5,31.7,2.5,3.2,79.2,1.9,2.5,4.5,2.1,0.8,0.8,1.6,11.6
136,Rory White,,1982.0,65.0,9.6,5.0,2.0,3.6,54.3,0.0,0.0,0,1.1,1.7,64.2,0.7,0.9,1.6,0.5,0.3,0.0,0.8,4.3
137,Russ Schoene,,1982.0,77.0,15.9,6.2,2.7,5.6,47.6,0.0,0.1,25,0.8,1.1,73.5,1.2,2.1,3.3,0.8,0.3,0.3,1.1,6.6
138,Scott Hastings,,1982.0,31.0,4.5,1.2,0.4,1.2,34.2,0.0,0.1,0,0.4,0.6,55.0,0.5,0.8,1.3,0.1,0.2,0.0,0.3,1.5
139,Sleepy Floyd,,1982.0,76.0,16.4,8.1,3.0,6.9,42.9,0.1,0.3,40,2.0,2.4,83.3,0.7,1.1,1.8,1.8,0.8,0.2,1.4,6.9
140,Terry Cummings,,1982.0,70.0,36.2,23.7,9.8,18.7,52.3,0.0,0.0,0,4.2,5.9,70.9,4.3,6.3,10.6,2.5,1.8,0.9,2.9,26.0
141,Terry Teagle,,1982.0,73.0,23.4,10.4,4.5,10.6,42.8,0.1,0.4,34.5,1.2,1.7,69.6,1.0,1.6,2.7,2.1,0.7,0.3,1.9,7.6
